rank,series_code,goal,description,mean_missingness_pct,missing_expected_observations,cumulative_share_pct
1,AG_LND_DGRD,15,Proportion of land that is degraded over total land area (%),100.0,193.0,0.8
2,GF_COM_PPPI,17,"Amount of United States dollars committed to public-private partnerships for infrastructure, million USD nominal",100.0,193.0,1.6
3,SH_AAP_ASMORT,3,"Age-standardized mortality rate attributed to ambient air pollution (deaths per 100,000 population)",100.0,193.0,2.4
4,SH_HLF_EMED,3,Proportion of health facilities that have a core set of relevant essential medicines available and affordable on a sustainable basis (%),100.0,193.0,3.2
5,SH_STA_WASHARI,3,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene from diarrhoea, intestinal nematode infections, malnutrition and acute respiratory infections (deaths per 100,000 population)",100.0,193.0,4.0
6,SH_SUD_ALCOL,3,"Alcohol use disorders, 12-month prevalence (%)",100.0,193.0,4.8
7,SE_DEV_ONTRK,4,"Proportion of children aged 36−59 months who are developmentally on track in at least three of the following domains: literacy-numeracy, physical development, social-emotional development, and learning (% of children aged 36-59 months)",99.7,192.5,5.5
8,SL_EMP_RCOST_MO,10,Migrant recruitment costs (number of months of earnings),99.6,192.2,6.3
9,SH_STA_FGMS,5,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age (%)",99.2,191.4,7.1
10,AG_PRD_XSUBDY,2,Agricultural export subsidies (millions of current United States dollars),98.9,190.8,7.9
11,DI_ILL_IN,16,Total value of inward illicit financial flows,98.8,190.6,8.7
12,SP_DISP_RESOL,16,Proportion of the population who have experienced a dispute in the past two years who accessed a formal or informal dispute resolution mechanism (%),98.7,190.4,9.5
13,VC_VOH_SXPH,11,"Proportion of persons victim of non-sexual or sexual harassment, in the previous 12 months (%)",98.1,189.4,10.3
14,SG_PLN_MSTKSDG_R,17,"Number of countries reporting progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals, Recipient (1 = YES; 0 = NO)",97.7,188.6,11.0
15,SG_PLN_RECNDI,17,Proportion of project objectives in new development interventions drawn from country-led result frameworks - data by recipient (%),97.1,187.4,11.8
16,VC_VAW_SXVLN,16,"Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29)",97.1,187.4,12.6
17,SG_XPD_PR,1,Proportion of government spending which benefits the poorest 20 percent (%),96.4,186.0,13.3
18,SH_FPL_MTMM,3,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years),96.3,185.8,14.1
19,SH_FPL_INFM,5,"Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years)",96.2,185.6,14.9
20,VC_VAW_PHYPYV,16,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years),95.8,184.8,15.6
21,SG_SCP_POLINS,12,Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO),95.5,184.4,16.4
22,VC_ARM_SZTRACE,16,"Proportion of seized, found or surrendered arms whose illicit origin or context has been traced or established by a competent authority in line with international instruments",95.1,183.6,17.1
23,VC_PRR_ROBB,16,"Police reporting rate for robbery in the previous 12 months, by sex (%)",94.7,182.8,17.9
24,IU_COR_BRIB,16,"Prevalence rate of bribery, by sex (%)",94.5,182.4,18.6
25,ER_WLD_TRPOACH,15,Proportion of traded wildlife that was poached or illicitly trafficked,94.4,182.2,19.4
26,SH_MDD_CHLD,2,Prevalence of minimum dietary diversity among children aged 6-23 months (%),94.2,181.8,20.1
27,SG_CPA_SDEVP,17,Mechanisms in place to enhance policy coherence for sustainable development (%),93.9,181.2,20.9
28,SP_DYN_MRBF18,5,Proportion of women aged 20-24 years who were married or in a union before age 18 (%),93.7,180.8,21.6
29,ER_UNCLOS_IMPLE,14,Score for the implementation of UNCLOS and its two implementing agreements (%),93.6,180.6,22.4
30,SL_TLF_CHLDEA,8,"Proportion of children engaged in economic activity, by sex and age  (%)",93.5,180.4,23.1
31,VC_VOV_ROBB,16,"Proportion of population subjected to robbery in the previous 12 months, by sex (%)",93.2,179.8,23.8
32,DC_TOF_URBINFRA,11,Total official development assistance and other official flows in support of urban infrastructure or urban infrastructure projects (millions of constant 2023 United States dollars),91.5,176.6,24.6
33,IU_DMK_INCL,16,Proportion of population who believe decision-making is inclusive (%),91.5,176.6,25.3
34,SP_LGL_LNDSTR,1,"Proportion of people with secure tenure rights to land out of total adult population, by sex (%)",91.3,176.2,26.0
35,SG_CPA_MIGRS,10,"Countries with migration policies to facilitate orderly, safe, regular and responsible migration and mobility of people, by policy domain (1 = Requires further progress; 2 = Partially meets; 3 = Meets; 4 = Fully meets)",90.9,175.4,26.7
36,EN_ACS_URB_OPENSP,11,Average share of urban population with convenient access to open public spaces (%),90.2,174.0,27.4
37,SH_OOP_XPD_EARNNET40,3,"Proportion of the population with positive out-of-pocket household expenditure on health exceeding 40% of household discretionary budget, by location, quintile, type of household and characteristics of the head of household (%)",90.2,174.0,28.2
38,VC_SNS_WALN_DRK,16,Proportion of population that feel safe walking alone around the area they live after dark (%),90.2,174.0,28.9
39,SG_REG_BRTH,16,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),90.1,173.8,29.6
40,SG_URB_CSPART,11,Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically,89.5,172.8,30.3
41,NV_IND_SSIS_NC,9,Proportion of small-scale industries in total industry value added based on national classification (%),89.4,172.6,31.0
42,SG_SCP_PROCN,12,Number of countries implementing sustainable public procurement policies and action plans,89.3,172.4,31.7
43,SH_LGR_ACSRHE,5,"Extent to which countries have laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education (%)",89.3,172.4,32.4
44,SE_SGE_BIODIV,4,Score on greening education in biodiversity (%),88.8,171.4,33.1
45,SG_GEN_EQPWNN,5,Countries with systems to track and make public allocations for gender equality and women's empowerment (0 = does not meet the requirement; 1 = approached the requirement; 2  =  Fully meets requirement),88.1,170.0,33.8
46,EN_REF_WASCOL,11,"Municipal Solid Waste collection coverage, by cities (%)",87.7,169.2,34.5
47,VC_VAW_NONMARR,5,Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months (%),87.5,168.8,35.2
48,EN_H2O_WBAMBQ,6,Proportion of bodies of water with good ambient water quality (%),87.2,168.2,35.9
49,FC_ACC_SSID,9,Proportion of small-scale industries with a loan or line of credit (%),86.7,167.4,36.6
