term,estimate_percentage_points,standard_error,ci_low,ci_high
Log population (1 SD),-1.63,0.23,-2.08,-1.19
Income: Low income vs High income,-0.38,0.82,-1.99,1.24
Income: Lower middle income vs High income,-1.88,0.65,-3.16,-0.6
Income: Upper middle income vs High income,-1.96,0.54,-3.02,-0.91
Region: East Asia & Pacific vs Europe & Central Asia,2.61,0.67,1.3,3.92
Region: Latin America & Caribbean vs Europe & Central Asia,-0.18,0.66,-1.48,1.11
"Region: Middle East, North Africa, Afghanistan & Pakistan vs Europe & Central Asia",2.26,0.79,0.71,3.8
Region: North America vs Europe & Central Asia,5.04,1.45,2.2,7.87
Region: South Asia vs Europe & Central Asia,2.15,1.13,-0.06,4.37
Region: Sub-Saharan Africa vs Europe & Central Asia,1.27,0.71,-0.12,2.66
Statistical performance (10 points),-3.28,0.16,-3.59,-2.97
