country,country_alpha3,income_group,region,population,missingness_pct
Afghanistan,AFG,Low income,"Middle East, North Africa, Afghanistan & Pakistan",43844111,68.4
Angola,AGO,Lower middle income,Sub-Saharan Africa,39040039,61.6
Albania,ALB,Upper middle income,Europe & Central Asia,2349580,54.2
Andorra,AND,High income,Europe & Central Asia,82904,71.9
United Arab Emirates,ARE,High income,"Middle East, North Africa, Afghanistan & Pakistan",11513149,62.6
Argentina,ARG,Upper middle income,Latin America & Caribbean,45851378,53.9
Armenia,ARM,Upper middle income,Europe & Central Asia,3086700,52.7
Antigua and Barbuda,ATG,High income,Latin America & Caribbean,94209,70.8
Australia,AUS,High income,East Asia & Pacific,27614411,55.4
Austria,AUT,High income,Europe & Central Asia,9208163,51.6
Azerbaijan,AZE,Upper middle income,Europe & Central Asia,10246996,55.2
Burundi,BDI,Low income,Sub-Saharan Africa,14390003,65.8
Belgium,BEL,High income,Europe & Central Asia,11941781,52.3
Benin,BEN,Lower middle income,Sub-Saharan Africa,14814460,61.3
Burkina Faso,BFA,Low income,Sub-Saharan Africa,24074580,58.2
Bangladesh,BGD,Lower middle income,South Asia,175686899,55.9
Bulgaria,BGR,High income,Europe & Central Asia,6433302,50.4
Bahrain,BHR,High income,"Middle East, North Africa, Afghanistan & Pakistan",1600366,64.8
Bahamas,BHS,High income,Latin America & Caribbean,403033,69.1
Bosnia and Herzegovina,BIH,Upper middle income,Europe & Central Asia,3140095,56.6
Belarus,BLR,Upper middle income,Europe & Central Asia,9085991,54.3
Belize,BLZ,Upper middle income,Latin America & Caribbean,422924,63.1
"Bolivia, Plurinational State of",BOL,Lower middle income,Latin America & Caribbean,12581843,52.9
Brazil,BRA,Upper middle income,Latin America & Caribbean,212812405,51.6
Barbados,BRB,High income,Latin America & Caribbean,282623,66.5
Brunei Darussalam,BRN,High income,East Asia & Pacific,466330,66.5
Bhutan,BTN,Lower middle income,South Asia,796682,63.3
Botswana,BWA,Upper middle income,Sub-Saharan Africa,2562122,60.0
Central African Republic,CAF,Low income,Sub-Saharan Africa,5513282,70.1
