goal,dimension,coverage_pct
1,sex,9.0
1,age,4.1
1,location,12.0
2,sex,21.8
2,age,0.0
2,location,0.0
3,sex,21.7
3,age,6.1
3,location,0.8
4,sex,34.5
4,age,13.1
4,location,7.4
5,sex,6.0
5,age,11.3
5,location,0.8
6,sex,0.0
6,age,0.0
6,location,12.6
7,sex,0.0
7,age,0.0
7,location,33.2
8,sex,24.1
8,age,9.9
8,location,4.6
9,sex,0.0
9,age,0.0
9,location,0.0
10,sex,2.2
10,age,0.6
10,location,1.1
11,sex,0.3
11,age,0.0
11,location,9.6
12,sex,0.0
12,age,0.0
12,location,0.0
13,sex,0.0
13,age,0.0
13,location,0.0
14,sex,0.0
14,age,0.0
14,location,0.0
15,sex,0.0
15,age,0.0
15,location,0.0
16,sex,15.4
16,age,5.8
16,location,0.2
17,sex,2.1
17,age,0.0
17,location,0.0
