dimension,group,countries,mean_missingness_pct,ci_low,ci_high,mean_staleness
family,Partnership,193,41.5,39.1,44.2,56.0
family,Peace,193,28.7,26.1,31.3,33.4
family,People,193,41.9,40.2,43.8,46.0
family,Planet,193,58.6,56.9,60.2,51.9
family,Prosperity,193,48.4,46.3,50.2,51.5
goal,1,193,50.1,47.3,52.5,49.8
goal,10,193,68.3,63.6,72.9,58.4
goal,11,193,64.6,61.9,66.9,59.4
goal,12,193,72.8,70.8,74.6,61.9
goal,13,193,64.2,58.6,69.2,67.5
goal,15,193,60.0,60.0,60.0,24.9
goal,16,193,28.7,26.2,31.4,33.4
goal,17,193,41.5,38.9,44.0,56.0
goal,2,193,13.1,9.7,16.8,16.2
goal,3,193,27.0,26.7,27.8,44.7
goal,4,193,71.8,68.7,74.8,69.8
goal,5,193,47.4,44.4,50.2,49.2
goal,6,193,37.3,35.2,39.8,53.3
goal,7,193,25.2,24.6,25.7,41.6
goal,8,193,43.8,40.5,47.1,53.9
goal,9,193,35.6,33.4,37.7,40.3
income,High income,64,42.4,39.8,45.3,45.9
income,Low income,25,56.7,54.4,59.1,56.0
income,Lower middle income,46,50.9,48.8,52.9,51.6
income,Upper middle income,58,46.8,43.9,49.7,48.3
region,East Asia & Pacific,30,50.1,47.0,53.6,51.9
region,Europe & Central Asia,52,39.7,37.2,42.5,43.5
region,Latin America & Caribbean,33,48.0,43.9,52.6,49.5
region,"Middle East, North Africa, Afghanistan & Pakistan",22,50.6,47.4,53.6,52.2
region,North America,2,33.1,31.4,34.8,36.8
region,South Asia,6,50.1,45.5,54.6,50.4
region,Sub-Saharan Africa,48,53.3,51.2,55.4,52.8
