goal,income_group,countries,mean_missingness_pct,ci_low,ci_high,mean_staleness
1,High income,64,61.1,56.7,65.4,67.3
1,Upper middle income,58,62.3,57.4,67.4,65.1
1,Lower middle income,46,68.8,64.7,72.6,69.3
1,Low income,25,77.1,72.3,82.0,76.6
2,High income,64,45.0,41.3,49.1,51.0
2,Upper middle income,58,38.0,35.6,40.6,44.6
2,Lower middle income,46,34.1,32.4,35.7,41.1
2,Low income,25,36.2,32.2,41.0,42.8
3,High income,64,59.8,58.6,61.4,70.5
3,Upper middle income,58,59.0,58.1,60.1,69.5
3,Lower middle income,46,58.8,58.1,59.5,68.7
3,Low income,25,59.1,58.2,59.9,68.7
4,High income,64,62.1,59.2,65.1,68.1
4,Upper middle income,58,64.4,60.4,68.1,66.5
4,Lower middle income,46,75.1,70.5,79.2,74.0
4,Low income,25,82.7,77.2,88.0,80.1
5,High income,64,69.9,67.6,72.2,70.3
5,Upper middle income,58,72.1,69.9,74.3,69.8
5,Lower middle income,46,70.6,68.3,72.9,68.2
5,Low income,25,73.3,69.0,77.7,69.9
6,High income,64,60.4,59.0,62.1,64.1
6,Upper middle income,58,62.2,60.0,64.4,64.8
6,Lower middle income,46,62.0,59.9,64.1,64.7
6,Low income,25,61.6,59.2,64.2,63.7
7,High income,64,37.9,35.7,40.3,52.8
7,Upper middle income,58,25.1,24.3,25.7,41.8
7,Lower middle income,46,24.6,23.8,25.5,41.1
7,Low income,25,22.7,21.3,24.0,37.8
8,High income,64,50.2,46.6,54.2,57.0
8,Upper middle income,58,54.3,50.3,58.2,59.4
8,Lower middle income,46,60.7,57.5,63.6,62.9
8,Low income,25,68.1,64.6,71.3,70.5
9,High income,64,49.2,45.7,53.0,58.3
9,Upper middle income,58,56.7,52.8,60.5,63.4
9,Lower middle income,46,63.8,61.0,66.6,65.7
9,Low income,25,71.1,68.2,73.9,69.1
10,High income,64,51.1,47.1,55.1,53.2
10,Upper middle income,58,53.7,50.3,57.5,52.7
10,Lower middle income,46,55.2,52.2,58.1,54.6
10,Low income,25,62.8,60.3,65.3,59.5
11,High income,64,77.7,75.4,80.0,69.5
11,Upper middle income,58,82.3,80.2,84.3,72.2
11,Lower middle income,46,84.7,82.6,86.5,72.8
11,Low income,25,86.4,84.7,88.3,74.9
12,High income,64,64.9,62.5,67.5,64.5
12,Upper middle income,58,76.9,74.4,79.2,74.0
12,Lower middle income,46,82.2,80.4,83.7,77.5
12,Low income,25,85.9,83.5,88.2,80.9
13,High income,64,69.4,65.6,73.4,100.0
13,Upper middle income,58,82.8,78.3,87.2,100.0
13,Lower middle income,46,87.0,81.7,92.2,100.0
13,Low income,25,95.2,90.4,100.0,100.0
14,High income,64,72.6,70.7,74.7,76.9
14,Upper middle income,58,74.1,72.4,75.9,78.2
14,Lower middle income,46,77.0,74.9,79.3,79.2
14,Low income,25,80.5,77.1,84.3,80.4
15,High income,64,48.3,47.7,49.0,35.0
15,Upper middle income,58,48.7,48.3,49.2,34.1
15,Lower middle income,46,48.5,48.3,48.7,34.5
15,Low income,25,48.4,48.1,48.8,33.9
16,High income,64,70.8,69.3,72.6,66.7
16,Upper middle income,58,73.2,71.1,75.3,70.3
16,Lower middle income,46,75.9,74.2,77.6,71.4
16,Low income,25,79.3,77.1,81.4,73.0
17,High income,64,47.7,46.0,49.6,53.5
17,Upper middle income,58,43.4,41.5,45.6,50.6
17,Lower middle income,46,43.9,42.5,45.4,51.1
17,Low income,25,51.6,47.3,56.4,56.8
