excluded_series,description,low_minus_high_income_pp
AG_FOOD_WST,Food waste (Tonnes),7.1
AG_FPA_CFPI,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",7.12
AG_LND_DGRD,Proportion of land that is degraded over total land area (%),7.14
AG_LND_FRST,Forest area as a proportion of total land area (%),7.14
AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (thousands of hectares),7.14
AG_LND_SUST_PRXCSS,"[PROXY] Progress toward productive and sustainable agriculture, current status score",7.17
AG_PRD_AGVAS,Agriculture value added share of GDP (%),7.13
AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity in the population (%),7.15
AG_PRD_XSUBDY,Agricultural export subsidies (millions of current United States dollars),7.13
BN_CAB_XOKA_GD_ZS,Current account balance as a proportion of GDP (%),7.0
BX_TRF_PWKR,Volume of remittances (in United States dollars) as a proportion of total GDP (%),7.04
DC_ENVTECH_IMP,Amount of tracked imported Environmentally Sound Technologies (current United States dollars),6.96
DC_FTA_TOTAL,Total official development assistance (gross disbursement) for technical cooperation (millions of 2024 United States dollars),7.49
DC_TOF_URBINFRA,Total official development assistance and other official flows in support of urban infrastructure or urban infrastructure projects (millions of constant 2023 United States dollars),7.21
DI_ILL_IN,Total value of inward illicit financial flows,7.17
DT_TDS_DECT,"Debt service as a proportion of exports of goods, services and primary income (%)",7.35
EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",7.14
EG_EGY_CLEAN,Proportion of population with primary reliance on clean fuels and technology (%),7.15
EG_EGY_PRIM,Energy intensity level of primary energy (megajoules per constant 2021 purchasing power parity GDP),7.19
EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),7.16
EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),7.19
EG_IFF_RANDN,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2023 United States dollars)",7.45
EG_TBA_H2CO,Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation (%),7.14
EN_ACS_URB_OPENSP,Average share of urban population with convenient access to open public spaces (%),7.14
EN_ATM_CO2,Carbon dioxide emissions from fuel combustion (millions of tonnes),7.05
EN_ATM_GHGT_WLU,Total greenhouse gas emissions with LULUCF (Mt CO₂ equivalent),7.02
EN_ATM_PM25,"Annual mean levels of fine particulate matter (population-weighted), by location (micrograms per cubic meter)",7.14
EN_EWT_RCYPCAP,"Electronic waste recycled, per capita (Kg)",6.88
EN_H2O_WBAMBQ,Proportion of bodies of water with good ambient water quality (%),7.12
EN_LKRV_PWAC,Lakes and rivers permanent water area change (%),7.15
EN_LND_CNSPOP,Ratio of land consumption rate to population growth rate,7.12
EN_LND_INDQTHSNG,Proportion of urban population living in inadequate housing (%),6.9
EN_MAR_CHLANM,"Chlorophyll-a anomaly, remote sensing (%)",7.08
EN_MAT_DOMCMPC,"Domestic material consumption per capita, by type of raw material (tonnes)",7.14
EN_REF_WASCOL,"Municipal Solid Waste collection coverage, by cities (%)",7.08
EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",6.95
EN_TWT_GENV,"Total waste generation, by activity (Tonnes)",7.05
EN_WWT_WWDS,Proportion of safely treated domestic wastewater flows (%),7.09
ER_BDY_ABT2NP,Countries that established national targets in accordance with Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020 in their National Biodiversity Strategy and Action Plans (1 = YES; 0 = NO),7.14
ER_CBD_PTYPGRFA,Countries that are contracting Parties to the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA) (1 = YES; 0 = NO),7.14
ER_FFS_CMPT_GDP,Fossil-fuel subsidies (consumption and production) as a proportion of total GDP (%),7.16
ER_GRF_ANIMKPT_TRB,Number of transboundary breeds (including extinct ones),7.17
ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),7.14
ER_H2O_PRDU,"Countries with procedures in law or policy for participation by service users/communities in planning program in rural drinking-water supply, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)",7.24
ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),7.17
ER_H2O_WUEYST,Water Use Efficiency (United States dollars per cubic meter),7.16
ER_IAS_LEGIS,"Legislation, Regulation, Act related to the prevention of introduction and management of Invasive Alien Species (1 = YES, 0 = NO)",7.15
ER_NOEX_TRBBREDN,Number of transboundary breeds (not extinct) (number),7.17
ER_PTD_TERR,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),7.16
ER_REG_UNFCIM,"Progress by countries in the degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing (level of implementation: 1 lowest to 5 highest)",7.13
ER_RSK_LST,Red List Index,7.14
ER_UNCLOS_IMPLE,Score for the implementation of UNCLOS and its two implementing agreements (%),7.1
ER_WLD_TRPOACH,Proportion of traded wildlife that was poached or illicitly trafficked,7.12
FB_ATM_TOTL,"Number of automated teller machines (ATMs) per 100,000 adults",7.02
FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",7.11
FC_ACC_SSID,Proportion of small-scale industries with a loan or line of credit (%),7.16
FI_FSI_FSKRTC,Regulatory Tier 1 capital to risk-weighted assets (%),6.98
GB_POP_SCIERD,"Researchers (in full-time equivalent) per million inhabitants (per 1,000,000 population)",6.96
GB_XPD_CULNAT_PB,"Total expenditure per capita spent on cultural and natural heritage, public (PPP, constant 2017 United States dollars)",7.01
GB_XPD_RSDV,Research and development expenditure as a proportion of GDP (%),6.95
GC_GOB_TAXD,Proportion of domestic budget funded by domestic taxes (%),7.03
GF_COM_PPPI,"Amount of United States dollars committed to public-private partnerships for infrastructure, million USD nominal",7.14
GF_FRN_FDI,Foreign direct investment (FDI) inflows (millions of United States dollars),7.12
GF_XPD_GBPC,Primary government expenditures as a proportion of original approved budget (%),7.25
GR_G14_GDP,Total government revenue (budgetary central government) as a proportion of GDP (%),7.03
IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),7.16
IC_GEN_MGTL,Proportion of women in managerial positions - 13th ICLS (%),6.91
IQ_SPI_PIL5,Data Infrastructure performance index (Statistical Performance Indicators Pillar 5) (Index),7.14
IS_RDP_PFVOL,"Passenger volume (passenger kilometres), by mode of transport",7.09
IT_MOB_2GNTWK,Proportion of population covered by at least a 2G mobile network (%),7.1
IT_MOB_OWN,"Proportion of individuals who own a mobile telephone, by sex (%)",7.05
IT_NET_BBND,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",7.07
IT_USE_ii99,Proportion of individuals using the Internet (%),7.04
IU_COR_BRIB,"Prevalence rate of bribery, by sex (%)",7.1
IU_DMK_INCL,Proportion of population who believe decision-making is inclusive (%),7.05
NV_IND_MANF,Manufacturing value added (constant 2020 United States dollars) as a proportion of GDP (%),7.14
NV_IND_SSIS_NC,Proportion of small-scale industries in total industry value added based on national classification (%),7.04
NV_IND_TECH,Proportion of medium and high-tech manufacturing value added in total value added (%),6.98
NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),7.14
PD_AGR_SSFP,"Productivity of small-scale food producers (agricultural output per labour day, PPP) (constant 2017 international $)",7.08
