m49,alpha3,name,region,income_group,population,population_year,statistical_performance,statistical_performance_year,completeness,staleness,priority
4,AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,43844111,2025,54.386,2024,31.62,69.52,75.61
8,ALB,Albania,Europe & Central Asia,Upper middle income,2349580,2025,83.654,2024,45.83,58.18,56.95
12,DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,47435312,2025,55.238,2024,37.49,64.14,72.58
20,AND,Andorra,Europe & Central Asia,High income,82904,2025,49.867,2024,28.13,72.53,62.12
24,AGO,Angola,Sub-Saharan Africa,Lower middle income,39040039,2025,58.152,2024,38.44,61.22,70.69
28,ATG,Antigua and Barbuda,Latin America & Caribbean,High income,94209,2025,63.211,2024,29.21,72.57,61.97
32,ARG,Argentina,Latin America & Caribbean,Upper middle income,45851378,2025,80.391,2024,46.11,58.35,68.18
51,ARM,Armenia,Europe & Central Asia,Upper middle income,3086700,2025,82.18,2024,47.3,57.03,57.11
36,AUS,Australia,East Asia & Pacific,High income,27614411,2025,88.971,2024,44.59,58.12,66.4
40,AUT,Austria,Europe & Central Asia,High income,9208163,2025,89.348,2024,48.44,56.61,60.53
31,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,10246996,2025,69.489,2024,44.83,58.08,62.27
44,BHS,Bahamas,Latin America & Caribbean,High income,403033,2025,51.257,2024,30.86,69.96,62.0
48,BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,1600366,2025,51.961,2024,35.16,66.27,61.82
50,BGD,Bangladesh,South Asia,Lower middle income,175686899,2025,71.638,2024,44.06,54.91,70.31
52,BRB,Barbados,Latin America & Caribbean,High income,282623,2025,61.739,2024,33.49,69.25,60.78
112,BLR,Belarus,Europe & Central Asia,Upper middle income,9085991,2025,77.198,2024,45.67,56.66,61.04
56,BEL,Belgium,Europe & Central Asia,High income,11941781,2025,87.259,2024,47.67,57.68,62.77
84,BLZ,Belize,Latin America & Caribbean,Upper middle income,422924,2025,67.684,2024,36.92,65.58,59.05
204,BEN,Benin,Sub-Saharan Africa,Lower middle income,14814460,2025,71.028,2024,38.67,64.7,68.1
64,BTN,Bhutan,South Asia,Lower middle income,796682,2025,57.972,2024,36.73,64.17,59.44
68,BOL,"Bolivia, Plurinational State of",Latin America & Caribbean,Lower middle income,12581843,2025,70.232,2024,47.14,53.22,61.65
70,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,3140095,2025,68.559,2024,43.44,59.89,59.29
72,BWA,Botswana,Sub-Saharan Africa,Upper middle income,2562122,2025,64.211,2024,39.95,62.77,60.33
76,BRA,Brazil,Latin America & Caribbean,Upper middle income,212812405,2025,82.308,2024,48.44,54.34,69.12
96,BRN,Brunei Darussalam,East Asia & Pacific,High income,466330,2025,61.437,2024,33.54,68.51,61.03
100,BGR,Bulgaria,Europe & Central Asia,High income,6433302,2025,83.554,2024,49.63,55.72,58.57
854,BFA,Burkina Faso,Sub-Saharan Africa,Low income,24074580,2025,76.368,2024,41.78,59.45,67.15
108,BDI,Burundi,Sub-Saharan Africa,Low income,14390003,2025,45.243,2024,34.16,64.96,69.11
132,CPV,Cabo Verde,Sub-Saharan Africa,Upper middle income,527326,2025,59.874,2024,36.17,65.32,59.36
116,KHM,Cambodia,East Asia & Pacific,Lower middle income,17847982,2025,63.014,2024,41.56,60.82,66.33
120,CMR,Cameroon,Sub-Saharan Africa,Lower middle income,29879337,2025,66.047,2024,38.63,63.04,70.03
124,CAN,Canada,North America,High income,41651653,2025,92.359,2024,46.27,56.82,67.3
140,CAF,Central African Republic,Sub-Saharan Africa,Low income,5513282,2025,46.842,2024,29.86,71.62,68.25
148,TCD,Chad,Sub-Saharan Africa,Low income,21003705,2025,53.566,2024,33.78,66.14,71.08
152,CHL,Chile,Latin America & Caribbean,High income,19859921,2025,89.379,2024,50.21,53.97,62.5
156,CHN,China,East Asia & Pacific,Upper middle income,1406585000,2025,57.927,2024,39.49,61.73,74.46
170,COL,Colombia,Latin America & Caribbean,Upper middle income,53425635,2025,83.438,2024,53.54,50.2,64.2
174,COM,Comoros,Sub-Saharan Africa,Lower middle income,882847,2025,50.504,2024,35.97,65.3,60.34
178,COG,Congo,Sub-Saharan Africa,Lower middle income,6484437,2025,38.871,2024,30.1,72.92,69.58
180,COD,"Congo, The Democratic Republic of the",Sub-Saharan Africa,Low income,112832473,2025,46.281,2024,36.16,62.58,74.24
188,CRI,Costa Rica,Latin America & Caribbean,High income,5152950,2025,90.985,2024,50.32,52.98,55.98
191,HRV,Croatia,Europe & Central Asia,High income,3876200,2025,85.05,2024,47.78,58.42,58.1
192,CUB,Cuba,Latin America & Caribbean,Upper middle income,10937203,2025,,,31.56,69.76,70.4
196,CYP,Cyprus,Europe & Central Asia,High income,1370754,2025,85.057,2024,46.13,57.99,55.97
203,CZE,Czechia,Europe & Central Asia,High income,10886878,2025,87.01,2024,48.35,57.33,61.75
384,CIV,Côte d'Ivoire,Sub-Saharan Africa,Lower middle income,32711547,2025,70.201,2024,43.54,59.01,67.5
208,DNK,Denmark,Europe & Central Asia,High income,6009169,2025,92.05,2024,46.21,58.76,60.18
262,DJI,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,1184076,2025,38.108,2024,30.95,71.3,63.9
212,DMA,Dominica,Latin America & Caribbean,Upper middle income,65871,2025,40.707,2024,30.0,72.82,61.65
214,DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,11520487,2025,75.216,2024,46.9,54.27,61.45
218,ECU,Ecuador,Latin America & Caribbean,Upper middle income,18289896,2025,79.858,2024,49.17,52.25,61.64
