country_m49,country_alpha3,country_name,series_code,goal,applicability,expected_cadence_years,latest_year,observed_years,recent_completeness,staleness,regularity,has_aggregate_slice,disaggregation,nature_counts,global_scarcity,measurement_priority_v1,score_components
356,IND,India,AG_LND_SUST_PRXCSS,2,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},1.0,100.0,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 1.0, ""staleness"": 1.0}"
356,IND,India,AG_PRD_XSUBDY,2,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},1.0,100.0,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 1.0, ""staleness"": 1.0}"
356,IND,India,EN_ATM_GHGT_WLU,13,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},1.0,100.0,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 1.0, ""staleness"": 1.0}"
356,IND,India,EN_TWT_GENV,12,universal,1,2019,2017;2018;2019,0.0,1.0,1.0,False,"{""age"": false, ""location"": false, ""sex"": false}","{""country"": 3}",1.0,100.0,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 1.0, ""staleness"": 1.0}"
356,IND,India,ER_H2O_PRDU,6,universal,1,2017,2017,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}","{""global_monitoring"": 1}",1.0,100.0,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 1.0, ""staleness"": 1.0}"
356,IND,India,ER_UNCLOS_IMPLE,14,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},1.0,100.0,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 1.0, ""staleness"": 1.0}"
356,IND,India,GB_POP_SCIERD,9,universal,1,2020,2015;2018;2020,0.0,1.0,0.8333,False,"{""age"": false, ""location"": false, ""sex"": false}","{""country"": 3}",1.0,100.0,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 1.0, ""staleness"": 1.0}"
356,IND,India,GB_XPD_CULNAT_PB,11,universal,1,,,0.0,1.0,,False,"{""age"": false, ""location"": false, ""sex"": false}",{},1.0,100.0,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 1.0, ""staleness"": 1.0}"
356,IND,India,GB_XPD_RSDV,9,universal,1,2020,2015;2016;2017;2018;2019;2020,0.0,1.0,1.0,False,"{""age"": false, ""location"": false, ""sex"": false}","{""country"": 6}",1.0,100.0,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 1.0, ""staleness"": 1.0}"
356,IND,India,GF_COM_PPPI,17,universal,1,2020,2015;2016;2017;2018;2019;2020,0.0,1.0,1.0,False,"{""age"": false, ""location"": false, ""sex"": false}","{""global_monitoring"": 6}",1.0,100.0,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 1.0, ""staleness"": 1.0}"
356,IND,India,IU_COR_BRIB,16,universal,1,2020,2016;2020,0.0,1.0,,True,"{""age"": false, ""location"": false, ""sex"": false}","{""country"": 2}",1.0,100.0,"{""completeness_deficit"": 1.0, ""global_scarcity"": 1.0, ""population_percentile"": 1.0, ""staleness"": 1.0}"
