indicator_ids,goals,representative_series,description,cadence_years,applicability,member_countries_at_selection,observation_rows_2015_2025,selection_basis
1.a.1,1,DC_ODA_POVLG,"Official development assistance grants for poverty reduction, by recipient countries (percentage of GNI)",1,conditional,146,1342,widest member-state coverage; observation count and code tie-break
1.2.2,1,SD_MDP_MUHC,Proportion of population living in multidimensional poverty (%),1,universal,87,2279,widest member-state coverage; observation count and code tie-break
1.a.2,1,SD_XPD_ESED,"Proportion of total government spending on essential services, education [UIS methodology] (%)",1,universal,185,1479,widest member-state coverage; observation count and code tie-break
1.5.3;11.b.1;13.1.2,1;11;13,SG_DSR_LGRGSR,Score of adoption and implementation of national DRR strategies in line with the Sendai Framework,2,universal,140,2073,existing curated representative
1.5.4;11.b.2;13.1.3,1;11;13,SG_DSR_SILS,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies (%),2,universal,128,2118,existing curated representative
1.b.1,1,SG_XPD_PR,Proportion of government spending which benefits the poorest 20 percent (%),1,universal,130,119,widest member-state coverage; observation count and code tie-break
1.3.1,1,SI_COV_BENFTS,"[ILO] Proportion of population covered by at least one social protection benefit, by sex (%)",2,universal,189,660,existing curated representative
1.1.1,1,SI_POV_DAY1,Proportion of population below international poverty line (%),3,universal,169,4689,existing curated representative
1.2.1,1,SI_POV_NAHC,Proportion of population living below the national poverty line (%),3,universal,158,543,widest member-state coverage; observation count and code tie-break
1.4.1,1,SP_ACS_BSRVH2O,"Proportion of population using basic drinking water services, by location (%)",1,universal,192,5266,existing curated representative
1.4.2,1,SP_LGL_LNDSTR,"Proportion of people with secure tenure rights to land out of total adult population, by sex (%)",1,universal,86,458,widest member-state coverage; observation count and code tie-break
1.5.1;11.5.1;13.1.1,1;11;13,VC_DSR_AFFCT,Number of people affected by disaster (number),1,universal,165,2931,existing curated representative
1.5.2;11.5.2,1;11,VC_DSR_GDPLS,Direct economic loss attributed to disasters (current United States dollars),1,universal,162,1722,widest member-state coverage; observation count and code tie-break
2.c.1,2,AG_FPA_CFPI,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",1,universal,182,1820,widest member-state coverage; observation count and code tie-break
2.4.1,2,AG_LND_SUST_PRXCSS,"[PROXY] Progress toward productive and sustainable agriculture, current status score",1,universal,186,1860,widest member-state coverage; observation count and code tie-break
2.a.1,2,AG_PRD_AGVAS,Agriculture value added share of GDP (%),1,universal,187,1870,widest member-state coverage; observation count and code tie-break
2.1.2,2,AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity in the population (%),1,universal,177,5819,existing curated representative
2.b.1,2,AG_PRD_XSUBDY,Agricultural export subsidies (millions of current United States dollars),1,universal,33,109,widest member-state coverage; observation count and code tie-break
2.a.2,2,DC_TOF_AGRL,"Total official flows (disbursements) for agriculture, by recipient countries (millions of constant 2024 United States dollars)",1,conditional,146,1352,widest member-state coverage; observation count and code tie-break
2.5.1,2,ER_GRF_ANIMKPT_TRB,Number of transboundary breeds (including extinct ones),1,universal,179,1969,widest member-state coverage; observation count and code tie-break
2.5.2,2,ER_NOEX_TRBBREDN,Number of transboundary breeds (not extinct) (number),1,universal,179,1969,widest member-state coverage; observation count and code tie-break
2.3.1,2,PD_AGR_SSFP,"Productivity of small-scale food producers (agricultural output per labour day, PPP) (constant 2017 international $)",1,universal,51,1410,widest member-state coverage; observation count and code tie-break
2.2.4,2,SH_MDD_CHLD,Prevalence of minimum dietary diversity among children aged 6-23 months (%),1,universal,112,107,widest member-state coverage; observation count and code tie-break
2.2.3,2,SH_STA_ANEM,Proportion of women aged 15-49 years with anaemia (%),1,universal,191,1719,widest member-state coverage; observation count and code tie-break
2.2.1,2,SH_STA_STNT,Proportion of children moderately or severely stunted (%),3,universal,160,4800,existing curated representative
2.3.2,2,SI_AGR_SSFP,"Average income of small-scale food producers, PPP (constant 2017 international $)",1,universal,52,1460,widest member-state coverage; observation count and code tie-break
2.1.1,2,SN_ITK_DEFC,Prevalence of undernourishment (%),1,universal,166,1826,existing curated representative
2.2.2,2,SN_STA_OVWGT,Proportion of children moderately or severely overweight (%),1,universal,161,4830,widest member-state coverage; observation count and code tie-break
3.b.2,3,DC_TOF_HLTHL,"Total official development assistance to medical research and basic health sectors, gross disbursement, by recipient countries (millions of constant 2024 United States dollars)",1,conditional,145,1352,widest member-state coverage; observation count and code tie-break
3.9.1,3,SH_AAP_ASMORT,"Age-standardized mortality rate attributed to ambient air pollution (deaths per 100,000 population)",1,universal,192,192,widest member-state coverage; observation count and code tie-break
3.b.1,3,SH_ACS_DTP3,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%),1,universal,191,1910,widest member-state coverage; observation count and code tie-break
3.8.1,3,SH_ACS_UNHC_25,"Universal health coverage (UHC) service coverage index, 2025 methodology",1,universal,192,1728,widest member-state coverage; observation count and code tie-break
3.5.2,3,SH_ALC_CONSPT,Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol),1,universal,189,1890,widest member-state coverage; observation count and code tie-break
3.d.2,3,SH_BLD_ECOLI,"Percentage of bloodstream infection due to Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested (%)",1,universal,95,409,widest member-state coverage; observation count and code tie-break
3.4.1,3,SH_DTH_NCOM,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)",1,universal,183,2196,widest member-state coverage; observation count and code tie-break
3.2.1,3,SH_DYN_IMRT,"Infant mortality rate (deaths per 1,000 live births)",1,universal,192,5760,widest member-state coverage; observation count and code tie-break
3.2.2,3,SH_DYN_NMRT,"Neonatal mortality rate (deaths per 1,000 live births)",1,universal,192,1920,existing curated representative
3.7.1,3,SH_FPL_MTMM,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years),1,universal,140,181,widest member-state coverage; observation count and code tie-break
3.3.4,3,SH_HAP_HBSAG_26,"Prevalence of hepatitis B surface antigen (HBsAg), 2026 methodology (%)",1,universal,193,1930,widest member-state coverage; observation count and code tie-break
3.3.1,3,SH_HIV_INCD,"Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)",1,universal,183,23790,widest member-state coverage; observation count and code tie-break
3.b.3,3,SH_HLF_EMED,Proportion of health facilities that have a core set of relevant essential medicines available and affordable on a sustainable basis (%),1,universal,27,20,widest member-state coverage; observation count and code tie-break
3.d.1,3,SH_IHR_CAPS,"International Health Regulations (IHR) capacity, by type of IHR capacity (%)",1,universal,193,23673,widest member-state coverage; observation count and code tie-break
3.c.1,3,SH_MED_DEN,"Health worker density, by type of occupation (per 10,000 population)",1,universal,192,4919,widest member-state coverage; observation count and code tie-break
