m49,alpha3,name,region,income_group,population,population_year,completeness,staleness,priority
4,AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,43844111,2025,43.04,60.87,67.87
8,ALB,Albania,Europe & Central Asia,Upper middle income,2349580,2025,59.2,44.3,46.89
12,DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,47435312,2025,48.99,52.54,63.78
20,AND,Andorra,Europe & Central Asia,High income,82904,2025,41.88,59.54,52.28
24,AGO,Angola,Sub-Saharan Africa ,Lower middle income,39040039,2025,46.81,52.29,63.62
28,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,94209,2025,36.81,63.89,55.17
32,ARG,Argentina,Latin America & Caribbean ,Upper middle income,45851378,2025,59.2,42.03,57.34
51,ARM,Armenia,Europe & Central Asia,Upper middle income,3086700,2025,63.33,40.82,45.57
36,AUS,Australia,East Asia & Pacific,High income,27614411,2025,60.07,40.84,54.63
40,AUT,Austria,Europe & Central Asia,High income,9208163,2025,67.9,40.22,48.08
31,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,10246996,2025,52.9,49.81,55.49
44,BHS,Bahamas,Latin America & Caribbean ,High income,403033,2025,32.61,67.51,58.85
48,BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,1600366,2025,50.94,52.54,51.21
50,BGD,Bangladesh,South Asia,Lower middle income,175686899,2025,56.59,45.17,61.91
52,BRB,Barbados,Latin America & Caribbean ,High income,282623,2025,47.68,54.71,50.29
112,BLR,Belarus,Europe & Central Asia,Upper middle income,9085991,2025,58.04,40.87,50.56
56,BEL,Belgium,Europe & Central Asia,High income,11941781,2025,67.61,39.54,49.58
84,BLZ,Belize,Latin America & Caribbean ,Upper middle income,422924,2025,44.2,55.94,52.0
204,BEN,Benin,Sub-Saharan Africa ,Lower middle income,14814460,2025,48.91,53.84,59.88
64,BTN,Bhutan,South Asia,Lower middle income,796682,2025,46.16,53.38,51.45
